Q_64_pdf,Q_10003_pdf
1.79E-05,7.28E-03
3.94E-05,1.21E-02
8.44E-05,1.98E-02
1.76E-04,3.15E-02
3.57E-04,4.90E-02
7.05E-04,7.46E-02
1.36E-03,1.11E-01
2.55E-03,1.61E-01
4.65E-03,2.30E-01
8.26E-03,3.19E-01
1.43E-02,4.34E-01
2.41E-02,5.76E-01
3.96E-02,7.49E-01
6.33E-02,9.51E-01
9.86E-02,1.18E+00
1.50E-01,1.43E+00
2.21E-01,1.70E+00
3.18E-01,1.97E+00
4.45E-01,2.23E+00
6.07E-01,2.47E+00
8.06E-01,2.68E+00
1.04E+00,2.84E+00
1.31E+00,2.94E+00
1.61E+00,2.97E+00
1.93E+00,2.94E+00
2.24E+00,2.85E+00
2.54E+00,2.69E+00
2.80E+00,2.49E+00
3.01E+00,2.25E+00
3.15E+00,1.99E+00
3.21E+00,1.71E+00
3.19E+00,1.45E+00
3.08E+00,1.19E+00
2.90E+00,9.63E-01
2.66E+00,7.60E-01
2.37E+00,5.86E-01
2.06E+00,4.42E-01
1.75E+00,3.25E-01
1.44E+00,2.34E-01
1.16E+00,1.65E-01
9.04E-01,1.14E-01
6.89E-01,7.64E-02
5.11E-01,5.03E-02
3.69E-01,3.23E-02
2.59E-01,2.03E-02
1.78E-01,1.25E-02
1.19E-01,7.51E-03
7.70E-02,4.41E-03
4.87E-02,2.53E-03
3.00E-02,1.42E-03
1.80E-02,7.80E-04
1.05E-02,4.18E-04
5.98E-03,2.19E-04
3.31E-03,1.12E-04
1.79E-03,5.63E-05
9.40E-04,2.76E-05
4.81E-04,1.32E-05
2.40E-04,6.19E-06
1.16E-04,2.83E-06
5.50E-05,1.27E-06
2.53E-05,5.54E-07
1.13E-05,2.37E-07
4.95E-06,9.90E-08
2.10E-06,4.05E-08
8.71E-07,1.62E-08
3.51E-07,6.31E-09
1.38E-07,2.41E-09
5.27E-08,9.00E-10
1.96E-08,3.28E-10
7.12E-09,1.17E-10
2.51E-09,4.08E-11
8.65E-10,1.39E-11
2.90E-10,4.63E-12
9.45E-11,1.51E-12
3.00E-11,4.81E-13
9.28E-12,1.50E-13
2.80E-12,4.55E-14
8.20E-13,1.35E-14
2.34E-13,3.94E-15
6.52E-14,1.12E-15
1.77E-14,3.11E-16
4.66E-15,8.46E-17
1.20E-15,2.25E-17
3.00E-16,5.83E-18
7.30E-17,1.48E-18
1.73E-17,3.67E-19
4.00E-18,8.91E-20
9.01E-19,2.11E-20
1.98E-19,4.90E-21
4.22E-20,1.11E-21
8.77E-21,2.46E-22
1.77E-21,5.33E-23
3.50E-22,1.13E-23
6.72E-23,2.33E-24
1.26E-23,4.72E-25
2.29E-24,9.34E-26
4.05E-25,1.81E-26
7.00E-26,3.41E-27
1.18E-26,6.31E-28
1.93E-27,1.14E-28
